name,affiliation,department,gold_email,gold_website
Nikos Passas,Northeastern University,Engineering,,
Carlee Joe‐Wong,Northeastern University,Computer Science,,
Roger W. Giese,Northeastern University,Chemistry,,
Rifat Sipahi,Northeastern University,Engineering,,
C. Langer,Northeastern University,Physics and Astronomy,,
Yi Zheng,Northeastern University,Engineering,,
Keiichi Sumida,Northeastern University,Medicine,,
Carol M. Warner,Northeastern University,Medicine,,
Eugene Tunik,Northeastern University,Neuroscience,,
Chang Zhou,Northeastern University,Computer Science,,
Michael S. Malamas,Northeastern University,Medicine,,
Yung Joon Jung,Northeastern University,Materials Science,,
Carmen Castaneda‐Sceppa,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Amal Ahmed,Northeastern University,Computer Science,,
Jennifer L. Bowen,Northeastern University,Environmental Science,,
Dori C. Woods,Northeastern University,Medicine,,
Matteo Rinaldi,Northeastern University,Engineering,,
Pau Closas,Northeastern University,Engineering,,
Teiichi Ando,Northeastern University,"Pharmacology, Toxicology and Pharmaceutics",,
Patrick J. Loughlin,Northeastern University,Engineering,,
Yunsi Fei,Northeastern University,Computer Science,,
Mark L. Miller,Northeastern University,Engineering,,
Meng Chen,Northeastern University,Engineering,,
Octavia Camps,Northeastern University,Computer Science,,
Guibing Guo,Northeastern University,Computer Science,,
Guevara Noubir,Northeastern University,Computer Science,,
Amy M. Briesch,Northeastern University,Psychology,,
Ronald J. Willey,Northeastern University,Decision Sciences,,
Yuan Li,Northeastern University,Immunology and Microbiology,,
Kai Zhang,Northeastern University,Neuroscience,,
John Devlin,Northeastern University,Medicine,,
Alina Oprea,Northeastern University,Computer Science,,
Seán Cahill,Northeastern University,Psychology,,
Hameed Metghalchi,Northeastern University,Engineering,,
Enrico Bertini,Northeastern University,Computer Science,,
Ramiro Martínez,Northeastern University,Social Sciences,,
Anand Nair,Northeastern University,"Business, Management and Accounting",,
Michael P. Pollastri,Northeastern University,Medicine,,
George G. Adams,Northeastern University,Engineering,,
Kai‐Tak Wan,Northeastern University,Engineering,,
Jung H. Lee,Northeastern University,Neuroscience,,
Weibin Cui,Northeastern University,Materials Science,,
P. E. Mijnarends,Northeastern University,Engineering,,
Ameet Pinto,Northeastern University,Environmental Science,,
Ying Liu,Northeastern University,Materials Science,,
M. E. Taslim,Northeastern University,Engineering,,
Torbjörn U.C. Järbe,Northeastern University,Neuroscience,,
Alisa K. Lincoln,Northeastern University,Psychology,,
Michael A. Lynes,Northeastern University,Nursing,,
H. Nickel,Northeastern University,Materials Science,,
Arthur M. Langer,Northeastern University,Medicine,,
Miriam Leeser,Northeastern University,Computer Science,,
Srinivas Tadigadapa,Northeastern University,Engineering,,
Ben Bylsma,Northeastern University,Physics and Astronomy,,
Hongfeng Wang,Northeastern University,Engineering,,
Sagar Kamarthi,Northeastern University,Engineering,,
Matthew Miller,Northeastern University,Mathematics,,
Patrick Legros,Northeastern University,"Economics, Econometrics and Finance",,
J. N. Fry,Northeastern University,Physics and Astronomy,,
Maria Marino,Northeastern University,Earth and Planetary Sciences,,
Salvatore D’Oro,Northeastern University,Computer Science,,
Dapeng Bi,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Peter Rosén,Northeastern University,Earth and Planetary Sciences,,
Ningfang Mi,Northeastern University,Computer Science,,
Aman Garg,Northeastern University,Engineering,,
David Bau,Northeastern University,Computer Science,,
Michael B. Kane,Northeastern University,Environmental Science,,
Bertram Scharf,Northeastern University,Neuroscience,,
John E. Kwoka,Northeastern University,"Economics, Econometrics and Finance",,
Abhishek Singh Dahiya,Northeastern University,Engineering,,
Spyros P. Nikas,Northeastern University,Medicine,,
Arjun Guha,Northeastern University,Computer Science,,
Zhenzhen Ren,Northeastern University,Agricultural and Biological Sciences,,
Javed A. Aslam,Northeastern University,Computer Science,,
Mark Henderson,Northeastern University,Engineering,,
John Isaacs,Northeastern University,Engineering,,
J. Daniel,Northeastern University,Medicine,,
Daniel J. Silver,Northeastern University,Medicine,,
Penny J. Beuning,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Mário A. Nascimento,Northeastern University,Computer Science,,
Yong-Bin Kim,Northeastern University,Engineering,,
Sheng‐Qi Zhou,Northeastern University,Earth and Planetary Sciences,,
S. V. Kravchenko,Northeastern University,Physics and Astronomy,,
Karl Lieberherr,Northeastern University,Computer Science,,
Richard D. Porter,Northeastern University,"Economics, Econometrics and Finance",,
Jie Zhong,Northeastern University,"Pharmacology, Toxicology and Pharmaceutics",,
Joshua Hoffman,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
