name,affiliation,department,gold_email,gold_website
Soha Hassoun,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Martin Klassen,Tufts University,Physics and Astronomy,,
Anna Sajina,Tufts University,Physics and Astronomy,,
Eric Anderson,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Robert M. Blanton,Tufts University,Medicine,,
Csaba D. Tóth,Tufts University,Computer Science,,
Amy F. Sato,Tufts University,Medicine,,
Robert D. White,Tufts University,Engineering,,
Hurst Hannum,Tufts University,Social Sciences,,
Hong Lu,Tufts University,Computer Science,,
Shira Doron,Tufts University,Immunology and Microbiology,,
A. Tai,Tufts University,Physics and Astronomy,,
Michael A. Weinstein,Tufts University,Social Sciences,,
M. Reza Vagefi,Tufts University,Medicine,,
Terry E. Haas,Tufts University,Materials Science,,
Teresa May,Tufts University,Medicine,,
David Manning,Tufts University,Medicine,,
Hari Sundar,Tufts University,Computer Science,,
Ayanna K. Thomas,Tufts University,Neuroscience,,
Lisa M. Quintiliani,Tufts University,Medicine,,
Roberto Toni,Tufts University,Medicine,,
Derek B. Archer,Tufts University,Medicine,,
Edward Silberman,Tufts University,Engineering,,
J Bernard,Tufts University,Medicine,,
Madeleine J. Oudin,Tufts University,Medicine,,
Ujjayant Chakravorty,Tufts University,Energy,,
David A. Adler,Tufts University,Health Professions,,
Jamshed Dalal,Tufts University,Medicine,,
Nicholas J. Fiumara,Tufts University,Medicine,,
Christoph Börgers,Tufts University,Neuroscience,,
K. E. Penski,Tufts University,Physics and Astronomy,,
P. K. Singh,Tufts University,Agricultural and Biological Sciences,,
Tobias Braun,Tufts University,Medicine,,
